painting_index,Season-Episode,painting_title,colors,color_hex
254,S04E12,Autumn Days,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
255,S04E13,Mountain Challenge,Alizarin Crimson | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
230,S05E01,Mountain Waterfall,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
231,S05E02,Twilight Meadow,Alizarin Crimson | Black Gesso | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
232,S05E03,Mountain Blossoms,Alizarin Crimson | Liquid Black | Phthalo Blue | Phthalo Green | Titanium White,#4E1500 | #000000 | #0C0040 | #102E3C | #FFFFFF
233,S05E04,Winter Stillness,Alizarin Crimson | Burnt Umber | Indian Yellow | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #8A3324 | #FFB800 | #0C0040 | #0A3410 | #FFFFFF | #221B15
234,S05E05,Quiet Pond,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00
235,S05E06,Ocean Sunrise,Alizarin Crimson | Indian Yellow | Liquid Black | Prussian Blue | Titanium White | Van Dyke Brown,#4E1500 | #FFB800 | #000000 | #021E44 | #FFFFFF | #221B15
236,S05E07,Bubbling Brook,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00
237,S05E08,Arizona Splendor,Alizarin Crimson | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00
238,S05E09,Anatomy of a Wave,Alizarin Crimson | Cadmium Yellow | Liquid Clear | Phthalo Blue | Phthalo Green | Titanium White,#4E1500 | #FFEC00 | #FFFFFF | #0C0040 | #102E3C | #FFFFFF
239,S05E10,The Windmill,Alizarin Crimson | Black Gesso | Bright Red | Burnt Umber | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #DB0000 | #8A3324 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
240,S05E11,Autumn Glory,Alizarin Crimson | Burnt Umber | Cadmium Yellow | Indian Yellow | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #8A3324 | #FFEC00 | #FFB800 | #021E44 | #0A3410 | #FFFFFF | #221B15
241,S05E12,Indian Girl,Bright Red | Burnt Umber | Indian Yellow | Prussian Blue | Titanium White,#DB0000 | #8A3324 | #FFB800 | #021E44 | #FFFFFF
242,S05E13,Meadow Stream,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
217,S06E01,Blue River,Alizarin Crimson | Black Gesso | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
218,S06E02,Natures Edge,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
219,S06E03,Morning Mist,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00
220,S06E04,Whispering Stream,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
221,S06E05,Secluded Forest,Alizarin Crimson | Black Gesso | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
222,S06E06,Snow Trail,Alizarin Crimson | Burnt Umber | Cadmium Yellow | Phthalo Blue | Phthalo Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #8A3324 | #FFEC00 | #0C0040 | #102E3C | #FFFFFF | #221B15 | #C79B00
223,S06E07,Arctic Beauty,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
224,S06E08,Horizons West,Alizarin Crimson | Bright Red | Cadmium Yellow | Indian Yellow | Prussian Blue | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #FFB800 | #021E44 | #FFFFFF | #221B15
225,S06E09,High Chateau,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
226,S06E10,Country Life,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
227,S06E11,Western Expanse,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
228,S06E12,Marshlands,Alizarin Crimson | Black Gesso | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00
229,S06E13,Blaze of Color,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
203,S07E01,Winter Cabin,Bright Red | Dark Sienna | Prussian Blue | Titanium White | Van Dyke Brown | Yellow Ochre,#DB0000 | #5F2E1F | #021E44 | #FFFFFF | #221B15 | #C79B00
204,S07E02,Secluded Lake,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
205,S07E03,Evergreens at Sunset,Alizarin Crimson | Bright Red | Cadmium Yellow | Indian Yellow | Midnight Black | Sap Green | Titanium White,#4E1500 | #DB0000 | #FFEC00 | #FFB800 | #000000 | #0A3410 | #FFFFFF
206,S07E04,Mountain Cabin,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
208,S07E05,Portrait of Sally,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Phthalo Blue | Titanium White | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #0C0040 | #FFFFFF | #C79B00
209,S07E06,Misty Waterfall,Alizarin Crimson | Bright Red | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Phthalo Green | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #102E3C | #0A3410 | #FFFFFF | #221B15 | #C79B00
210,S07E07,Barn at Sunset,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #FFFFFF | #221B15 | #C79B00
211,S07E08,Mountain Splendor,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
212,S07E09,Lake by Mountain,Alizarin Crimson | Bright Red | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
213,S07E10,Mountain Glory,Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00
214,S07E11,Grey Winter,Alizarin Crimson | Midnight Black | Titanium White,#4E1500 | #000000 | #FFFFFF
